 Date,CCMP_EC Open,CCMP_EC Low,CCMP_EC High,CCMP_EC Close,CCMP_EC Adj. Close
11/25/2019,"8,559.65","8,559.65","8,633.15","8,632.49","8,632.49"
11/22/2019,"8,530.54","8,477.49","8,535.46","8,519.89","8,519.89"
11/21/2019,"8,527.87","8,487.29","8,530.73","8,506.21","8,506.21"
11/20/2019,"8,543.57","8,468.63","8,578.27","8,526.73","8,526.73"
11/19/2019,"8,578.02","8,536.73","8,589.76","8,570.66","8,570.66"
11/18/2019,"8,529.16","8,503.62","8,559.78","8,549.94","8,549.94"
11/15/2019,"8,524.48","8,506.80","8,540.83","8,540.83","8,540.83"
11/14/2019,"8,461.06","8,441.58","8,485.36","8,479.02","8,479.02"
11/13/2019,"8,455.02","8,451.34","8,496.90","8,482.10","8,482.10"
11/12/2019,"8,471.07","8,462.99","8,514.84","8,486.09","8,486.09"
11/11/2019,"8,431.26","8,425.49","8,467.29","8,464.28","8,464.28"
11/8/2019,"8,422.67","8,405.89","8,475.57","8,475.31","8,475.31"
11/7/2019,"8,455.11","8,415.87","8,483.16","8,434.52","8,434.52"
11/6/2019,"8,426.57","8,379.33","8,426.57","8,410.63","8,410.63"
11/5/2019,"8,446.62","8,421.05","8,457.39","8,434.68","8,434.68"
11/4/2019,"8,445.50","8,421.30","8,451.37","8,433.20","8,433.20"
11/1/2019,"8,335.05","8,326.56","8,386.75","8,386.40","8,386.40"
10/31/2019,"8,314.38","8,248.81","8,321.80","8,292.36","8,292.36"
10/30/2019,"8,284.28","8,241.70","8,315.50","8,303.98","8,303.98"
10/29/2019,"8,313.35","8,275.14","8,319.29","8,276.85","8,276.85"
10/28/2019,"8,285.77","8,285.27","8,335.56","8,325.99","8,325.99"
10/25/2019,"8,150.59","8,150.59","8,249.97","8,243.12","8,243.12"
10/24/2019,"8,180.04","8,137.66","8,187.84","8,185.80","8,185.80"
10/23/2019,"8,090.24","8,078.35","8,122.89","8,119.79","8,119.79"
10/22/2019,"8,188.12","8,101.98","8,194.62","8,104.30","8,104.30"
10/21/2019,"8,137.42","8,117.26","8,164.14","8,162.99","8,162.99"
10/18/2019,"8,149.85","8,045.38","8,157.36","8,089.54","8,089.54"
10/17/2019,"8,176.91","8,131.25","8,183.64","8,156.85","8,156.85"
10/16/2019,"8,119.81","8,103.38","8,146.15","8,124.18","8,124.18"
10/15/2019,"8,074.85","8,071.81","8,166.18","8,148.71","8,148.71"
10/14/2019,"8,044.35","8,036.41","8,069.85","8,048.65","8,048.65"
10/11/2019,"8,047.34","8,046.80","8,115.80","8,057.04","8,057.04"
10/10/2019,"7,904.56","7,899.81","7,982.85","7,950.78","7,950.78"
10/9/2019,"7,895.96","7,873.52","7,930.91","7,903.74","7,903.74"
10/8/2019,"7,898.27","7,823.73","7,921.88","7,823.78","7,823.78"
