date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,nasdaq,cac_40,gold_usd,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_core_cpi,Year
2008-11-30,1.2722500000000003,1.52902,96.8055,1.1924499999999998,86.3915,57.29050000000001,1542.3394999999996,3287.2090000000003,760.6570000000003,1.0,4.2325,6.8,8.0,-10.4,-1.6,2.0,2008
2008-12-31,1.3535956521739132,1.4858043478260867,91.10347826086957,1.1365869565217392,82.97347826086958,41.853913043478265,1526.079565217391,3186.8260869565224,825.7417391304347,0.2826086956521739,3.2656521739130433,7.3,8.3,-11.3,-1.5,1.8,2008
2009-01-31,1.3287727272727272,1.4491454545454547,90.36454545454544,1.1252545454545455,83.96409090909091,41.97954545454545,1537.14,3111.0436363636372,862.7790909090909,0.25,2.4718181818181817,7.8,8.7,-10.2,-2.3,1.7,2009
2009-02-28,1.280485,1.44163,92.8445,1.16323,86.53999999999998,39.04200000000001,1485.2110000000002,2911.5440000000012,941.716,0.25,1.9435,8.3,9.0,-9.8,-4.6,1.8,2009
2009-03-31,1.3073454545454544,1.419859090909091,97.73636363636363,1.1538954545454545,86.41136363636362,48.06181818181818,1432.2331818181822,2725.318636363636,926.9554545454546,0.25,1.6340909090909088,8.7,9.3,-11.5,-3.1,1.8,2009
2009-04-30,1.3207000000000002,1.4727772727272732,98.92636363636366,1.1471681818181818,85.25545454545455,49.9540909090909,1641.7004545454545,3006.57,890.7772727272728,0.25,1.421363636363636,9.0,9.5,-11.1,-2.4,1.9,2009
2009-05-31,1.3672285714285717,1.5460095238095242,96.50761904761903,1.1058333333333332,82.03476190476191,59.36666666666666,1727.237142857143,3243.720476190476,930.4,0.25,1.2838095238095242,9.4,9.6,-11.1,-3.6,1.8,2009
2009-06-30,1.4013590909090912,1.637868181818182,96.66772727272728,1.080922727272727,80.11590909090908,69.69545454545457,1826.9881818181814,3242.8536363636363,945.5899999999997,0.25,1.2254545454545456,9.5,9.7,-9.7,-2.7,1.7,2009
2009-07-31,1.4086,1.6386478260869566,94.45565217391304,1.0785521739130433,79.52652173913044,64.28260869565216,1870.079565217392,3211.9800000000005,935.0682608695654,0.25,0.9543478260869565,9.5,9.8,-9.2,-1.9,1.5,2009
2009-08-31,1.4265714285714284,1.6533333333333329,94.9161904761905,1.0678523809523808,78.44809523809525,71.13857142857142,1997.1552380952387,3539.879523809524,949.7342857142855,0.25,0.8276190476190477,9.6,9.9,-6.9,-2.7,1.4,2009
2009-09-30,1.4563818181818182,1.6312727272727268,91.39272727272726,1.0399636363636364,77.05863636363638,69.54227272727272,2082.6118181818188,3732.74,997.9245454545454,0.25,0.7304545454545454,9.8,10.0,-7.7,-3.4,1.5,2009
2009-10-31,1.4818454545454545,1.619950000000001,90.315,1.0216454545454543,76.01045454545455,75.82363636363634,2122.8495454545455,3780.000909090909,1044.994090909091,0.25,0.6899999999999998,10.0,10.0,-3.2,-1.8,1.7,2009
2009-11-30,1.4927666666666666,1.661152380952381,89.11238095238096,1.0116190476190476,75.30809523809523,78.04523809523809,2143.29,3752.730952380952,1131.8904761904762,0.25,0.6752380952380952,9.9,10.1,1.5,-3.0,1.7,2009
2009-12-31,1.4568956521739131,1.6219956521739127,90.04652173913044,1.0306391304347826,76.82739130434781,74.78434782608694,2223.664347826087,3855.9943478260857,1126.7126086956525,0.25,0.6739130434782608,9.9,10.1,4.2,-0.9,1.8,2009
2010-01-31,1.4271619047619046,1.6159333333333332,91.21904761904764,1.0340666666666667,77.80666666666669,78.58,2272.2161904761906,3929.4557142857143,1117.156190476191,0.25,0.6295238095238093,9.8,10.2,2.7,-0.4,1.6,2010
2010-02-28,1.36816,1.56234,90.16100000000002,1.07186,80.1645,76.4805,2195.4275,3687.096500000001,1097.9789999999996,0.25,0.6034999999999997,9.8,10.2,3.3,-0.5,1.3,2010
2010-03-31,1.3574043478260869,1.5060391304347829,90.71739130434784,1.066021739130435,80.67086956521742,81.29,2362.243913043478,3922.151304347825,1114.5804347826086,0.25,0.5891304347826086,9.9,10.2,7.5,1.3,1.1,2010
2010-04-30,1.342795454545454,1.5337181818181818,93.49045454545455,1.0682272727272728,81.23545454545454,84.66818181818184,2473.6204545454552,3980.992272727273,1149.701818181818,0.25,0.5836363636363635,9.9,10.3,7.8,-0.6,0.9,2010
