 Date,USURTOT Close,USURTOT Adj. Close
2/29/2004,5.6,5.6
1/31/2004,5.7,5.7
12/31/2003,5.7,5.7
11/30/2003,5.8,5.8
10/31/2003,6,6
9/30/2003,6.1,6.1
8/31/2003,6.1,6.1
7/31/2003,6.2,6.2
6/30/2003,6.3,6.3
5/31/2003,6.1,6.1
4/30/2003,6,6
3/31/2003,5.9,5.9
2/28/2003,5.9,5.9
1/31/2003,5.8,5.8
12/31/2002,6,6
11/30/2002,5.9,5.9
10/31/2002,5.7,5.7
9/30/2002,5.7,5.7
8/31/2002,5.7,5.7
7/31/2002,5.8,5.8
6/30/2002,5.8,5.8
5/31/2002,5.8,5.8
4/30/2002,5.9,5.9
3/31/2002,5.7,5.7
2/28/2002,5.7,5.7
1/31/2002,5.7,5.7
12/31/2001,5.7,5.7
11/30/2001,5.5,5.5
10/31/2001,5.3,5.3
9/30/2001,5,5
8/31/2001,4.9,4.9
7/31/2001,4.6,4.6
6/30/2001,4.5,4.5
5/31/2001,4.3,4.3
4/30/2001,4.4,4.4
3/31/2001,4.3,4.3
2/28/2001,4.2,4.2
1/31/2001,4.2,4.2
12/31/2000,3.9,3.9
11/30/2000,3.9,3.9
10/31/2000,3.9,3.9
9/30/2000,3.9,3.9
8/31/2000,4.1,4.1
7/31/2000,4,4
6/30/2000,4,4
5/31/2000,4,4
4/30/2000,3.8,3.8
3/31/2000,4,4
2/29/2000,4.1,4.1
1/31/2000,4,4
12/31/1999,4,4
11/30/1999,4.1,4.1
10/31/1999,4.1,4.1
9/30/1999,4.2,4.2
8/31/1999,4.2,4.2
7/31/1999,4.3,4.3
6/30/1999,4.3,4.3
5/31/1999,4.2,4.2
4/30/1999,4.3,4.3
3/31/1999,4.2,4.2
2/28/1999,4.4,4.4
1/31/1999,4.3,4.3
