date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,snp_500,dow_jones,nasdaq,euro_n100,cac_40,dax,gold_usd,brent_crude,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_indus,eu_indus,us_core_cpi,eu_core_cpi,us_cpi,eu_cpi
1999-01-31,1.1599095238095236,1.6505619047619045,113.33476190476189,1.3853761904761908,94.58333333333333,12.47142857142857,1247.9438095238093,9337.773333333334,2353.0676190476183,1000.0,4137.265238095238,5147.515238095238,287.51666666666665,11.05190476190476,4.75,3.136190476190476,4.3,10.1,6.6,1.8,3.7,1.0,2.4,1.4,1.7,0.8
1999-02-28,1.1206150000000001,1.627655,116.68249999999998,1.4272450000000003,97.06999999999998,11.9885,1246.3465,9320.539,2354.8324999999995,1000.0,4124.2045,4960.8245,287.75750000000005,10.534500000000003,4.75,3.0934999999999997,4.4,10.0,7.7,2.3,4.1,-1.1,2.1,1.3,1.6,0.8
1999-03-31,1.0883695652173915,1.6216826086956517,119.53478260869568,1.4626826086956521,99.40521739130433,14.682173913043478,1281.6639130434783,9753.632173913042,2391.14,1000.0,4139.752173913043,4878.616521739131,285.9347826086956,12.877391304347826,4.75,3.048260869565218,4.2,9.9,7.6,3.4,4.2,-0.5,2.1,1.3,1.7,1.0
1999-04-30,1.0700409090909089,1.6085318181818182,119.7931818181818,1.4945727272727274,100.4681818181818,17.286363636363635,1334.1377272727273,10415.72590909091,2538.894545454546,1000.0,4324.717272727273,5169.267272727273,282.56363636363636,15.396363636363633,4.75,2.6968181818181822,4.3,9.9,7.0,2.2,4.1,-0.4,2.2,1.2,2.3,1.1
1999-05-31,1.062509523809524,1.614914285714286,121.94809523809523,1.5080666666666667,101.00333333333332,17.70285714285714,1330.2733333333333,10847.598095238096,2507.8061904761907,1000.0,4358.982380952381,5213.0371428571425,276.7619047619047,15.843333333333335,4.75,2.579999999999999,4.2,9.9,7.5,1.3,4.2,-0.9,2.0,1.2,2.1,1.0
1999-06-30,1.0387454545454544,1.5960590909090913,120.74136363636363,1.5361999999999996,102.46545454545453,17.92,1322.5527272727272,10704.022727272726,2520.958636363637,1000.0,4435.047272727273,5285.868181818182,261.3363636363636,16.208181818181817,4.988636363636363,2.627272727272727,4.3,9.8,6.9,3.0,4.7,0.6,2.1,1.1,2.0,0.9
1999-07-31,1.0364818181818178,1.5759909090909092,119.44136363636362,1.5475954545454547,102.70636363636363,20.069090909090907,1381.314090909091,11053.429545454546,2741.0600000000004,1000.0,4557.865,5461.107272727273,256.2363636363636,18.777727272727272,5.0,2.6750000000000003,4.3,9.8,8.4,2.1,5.7,0.6,2.1,1.2,2.1,1.1
1999-08-31,1.0605590909090907,1.6053727272727272,113.17954545454545,1.509490909090909,100.26545454545452,21.300909090909087,1327.4886363636365,10947.723636363638,2642.449090909091,1000.0,4436.576363636364,5203.999090909091,256.7218181818182,20.482272727272726,5.238636363636363,2.6945454545454544,4.2,9.7,10.1,1.8,4.0,2.4,1.9,1.1,2.3,1.2
1999-09-30,1.050459090909091,1.6242681818181817,107.07000000000002,1.5253363636363637,99.84863636363637,23.735454545454544,1319.6390909090906,10730.60409090909,2809.279090909091,1000.0,4635.4345454545455,5309.290454545454,265.1604545454545,22.84272727272727,5.25,2.727272727272727,4.2,9.7,9.6,1.0,3.8,1.9,2.0,1.0,2.6,1.2
1999-10-31,1.0707095238095239,1.6571952380952384,105.97285714285714,1.489633333333333,98.2457142857143,22.674761904761905,1300.01,10394.445714285714,2815.276666666666,1000.0,4653.110476190476,5320.763333333332,310.3880952380952,22.243333333333332,5.25,3.3766666666666674,4.1,9.6,8.0,3.3,4.4,2.8,2.1,0.9,2.6,1.4
1999-11-30,1.0332454545454546,1.6208,104.64954545454545,1.5541409090909093,100.61681818181818,24.875,1392.1672727272726,10818.821818181817,3240.424090909091,1000.0,5134.751363636365,5786.716363636363,293.6681818181818,24.238636363636363,5.488636363636363,3.467727272727274,4.1,9.5,8.4,2.6,4.9,4.0,2.1,1.0,2.6,1.5
1999-12-31,1.011904347826087,1.6140869565217393,102.63739130434784,1.582682608695652,101.75782608695651,26.075652173913046,1429.9191304347826,11253.293913043479,3750.117826086957,1000.0,5611.668260869565,6393.171739130434,284.3717391304348,25.231739130434786,5.5,3.442608695652175,4.0,9.5,9.4,2.8,5.3,4.5,1.9,1.1,2.7,1.7
2000-01-31,1.0136095238095237,1.6402190476190472,105.30000000000001,1.589019047619048,101.71285714285716,27.031904761904766,1426.992857142857,11299.392857142857,4019.080476190477,952.37,5661.530952380953,6915.297142857143,285.012380952381,25.24571428571429,5.5,3.3423809523809522,4.0,9.4,8.6,1.0,4.8,3.0,2.0,1.1,2.7,1.9
2000-02-29,0.9842476190476193,1.6015190476190477,109.49809523809522,1.632990476190476,104.43333333333332,29.31285714285714,1387.1261904761902,10526.584285714285,4409.501904761905,995.6580952380954,6121.947142857143,7524.3476190476185,300.2466666666666,27.02809523809524,5.738095238095238,3.537619047619048,4.1,9.3,9.0,3.7,4.6,5.6,2.2,1.0,3.2,1.9
2000-03-31,0.9646739130434784,1.5815565217391303,106.34913043478262,1.6629739130434784,105.54347826086956,29.894347826086953,1442.213043478261,10481.628695652176,4802.988260869565,1029.1052173913042,6374.750434782608,7812.148260869567,286.23434782608695,27.272608695652167,5.989130434782608,3.747391304347826,4.0,9.2,9.8,0.4,4.8,5.2,2.4,0.9,3.8,1.9
2000-04-30,0.9452400000000001,1.5812700000000002,105.67249999999999,1.66464,106.79550000000002,25.562000000000005,1459.7805000000003,10939.3055,3844.5795000000007,1014.1805,6237.227499999999,7347.127999999999,280.13800000000003,23.2145,6.0,3.929500000000001,3.8,9.1,7.4,3.7,5.3,5.2,2.3,1.0,3.1,1.7
2000-05-31,0.9083304347826089,1.5090304347826085,108.19608695652175,1.714882608695652,110.72652173913042,28.880434782608695,1418.6521739130435,10568.053043478258,3525.419565217391,1043.7013043478262,6352.641304347826,7197.0086956521745,274.9904347826087,27.417826086956524,6.478260869565218,4.349130434782609,4.0,9.0,6.5,4.4,4.7,7.1,2.4,0.9,3.2,1.7
2000-06-30,0.9498863636363638,1.5106363636363638,106.1531818181818,1.6427727272727273,107.1059090909091,31.529999999999998,1461.959090909091,10582.933636363636,3865.4768181818176,1074.0363636363638,6541.555909090909,7184.130454545453,286.16499999999996,29.76090909090909,6.5,4.499090909090909,4.0,9.0,7.0,3.2,5.0,4.0,2.5,1.0,3.7,2.1
2000-07-31,0.9395952380952379,1.5086238095238098,108.02190476190476,1.6505571428571426,108.27761904761904,29.80714285714285,1471.727619047619,10658.078571428572,4010.323809523809,1077.392857142857,6513.132380952381,7192.507619047617,281.6561904761905,28.666190476190472,6.5,4.58,4.0,8.9,5.9,2.3,4.2,4.0,2.5,0.9,3.7,2.0
2000-08-31,0.9043217391304346,1.4890478260869566,108.05826086956522,1.7148130434782611,111.16695652173912,31.137826086956526,1485.4582608695653,11014.512173913045,3909.5969565217397,1098.3695652173913,6562.110869565218,7221.729130434782,274.6760869565218,30.411304347826093,6.5,4.774347826086957,4.1,8.9,4.9,0.2,3.4,8.5,2.6,0.9,3.4,2.0
2000-09-30,0.8709190476190477,1.4345714285714288,106.81190476190477,1.7564285714285712,114.22666666666666,33.8652380952381,1469.912380952381,10980.768095238096,3888.5533333333346,1095.611904761905,6553.358095238096,7027.639523809525,273.69571428571425,32.33047619047619,6.5,4.850476190476191,3.9,8.8,6.2,4.0,4.3,4.2,2.6,1.0,3.5,2.5
