 Date,DAX_EC Open,DAX_EC Low,DAX_EC High,DAX_EC Close,DAX_EC Adj. Close,DAX_EC SMA (200D),DAX_EC SMA (50D)
9/10/2019,"12,210.88","12,179.88","12,292.14","12,268.71","12,268.71","11,697.30","12,056.94"
9/9/2019,"12,210.87","12,189.60","12,245.11","12,226.10","12,226.10","11,691.65","12,062.10"
9/6/2019,"12,146.00","12,131.29","12,205.10","12,191.73","12,191.73","11,686.74","12,068.01"
9/5/2019,"12,117.90","12,084.17","12,151.31","12,126.78","12,126.78","11,681.12","12,072.15"
9/4/2019,"12,043.96","11,999.83","12,078.40","12,025.04","12,025.04","11,676.71","12,075.03"
9/3/2019,"11,921.94","11,869.28","11,956.69","11,910.86","11,910.86","11,673.29","12,079.44"
9/2/2019,"11,939.99","11,929.91","11,994.11","11,953.78","11,953.78","11,670.50","12,085.79"
8/30/2019,"11,850.30","11,845.16","11,989.44","11,939.28","11,939.28","11,667.79","12,092.21"
8/29/2019,"11,686.84","11,661.73","11,853.91","11,838.88","11,838.88","11,665.46","12,100.22"
8/28/2019,"11,704.67","11,573.64","11,717.79","11,701.02","11,701.02","11,662.89","12,110.55"
8/27/2019,"11,638.51","11,616.09","11,778.62","11,730.02","11,730.02","11,662.03","12,122.70"
8/26/2019,"11,619.66","11,551.99","11,696.78","11,658.04","11,658.04","11,661.02","12,134.74"
8/23/2019,"11,805.48","11,611.51","11,823.12","11,611.51","11,611.51","11,660.62","12,143.29"
8/22/2019,"11,756.21","11,715.26","11,853.14","11,747.04","11,747.04","11,659.99","12,152.99"
8/21/2019,"11,673.66","11,673.37","11,824.66","11,802.85","11,802.85","11,658.73","12,161.43"
8/20/2019,"11,711.78","11,618.93","11,764.93","11,651.18","11,651.18","11,657.31","12,167.69"
8/19/2019,"11,679.72","11,625.67","11,759.00","11,715.37","11,715.37","11,656.39","12,177.78"
8/16/2019,"11,460.65","11,447.34","11,578.84","11,562.74","11,562.74","11,655.05","12,185.76"
8/15/2019,"11,522.46","11,266.48","11,530.01","11,412.67","11,412.67","11,653.68","12,195.41"
8/14/2019,"11,758.75","11,459.37","11,759.57","11,492.66","11,492.66","11,653.29","12,206.22"
8/13/2019,"11,632.85","11,539.63","11,835.88","11,750.13","11,750.13","11,651.83","12,215.99"
8/12/2019,"11,801.06","11,647.01","11,836.97","11,679.68","11,679.68","11,649.62","12,220.41"
8/9/2019,"11,806.82","11,674.11","11,865.63","11,693.80","11,693.80","11,647.18","12,222.67"
8/8/2019,"11,752.96","11,683.99","11,845.41","11,845.41","11,845.41","11,645.08","12,223.33"
8/7/2019,"11,636.34","11,559.76","11,747.74","11,650.15","11,650.15","11,643.47","12,224.46"
8/6/2019,"11,690.27","11,567.96","11,748.83","11,567.96","11,567.96","11,642.99","12,228.22"
8/5/2019,"11,758.44","11,628.57","11,797.52","11,658.51","11,658.51","11,643.10","12,237.40"
8/2/2019,"12,033.68","11,836.75","12,034.91","11,872.44","11,872.44","11,643.38","12,245.65"
